"Name","Id","Version","Available","Source"
"Microsoft Web Deploy 4.0","Microsoft.WebDeploy","10.0.8215","","winget"
"NVIDIA PhysX","Nvidia.PhysXLegacy","9.12.1031","9.13.0604","winget"
"PowerToys (Preview) x64","Microsoft.PowerToys","0.80.0","0.80.1","winget"
"Microsoft Windows Desktop Runtime - …","Microsoft.DotNet.DesktopRuntime.8","8.0.4","","winget"
"VLC media player","VideoLAN.VLC","3.0.20","","winget"
"Microsoft Windows Desktop Runtime - …","Microsoft.DotNet.DesktopRuntime.7","7.0.18","","winget"
"Microsoft Visual C++ 2008 Redistribu…","Microsoft.VCRedist.2008.x86","9.0.30729.6161","","winget"
"IIS 10.0 Express","{A43F6F96-4CED-4152-8086-AF954755E32…","10.0.08608","",""
"Nilesoft Shell","Nilesoft.Shell","1.9.10","1.9.15","winget"
"Install","{ABC2CE01-78A5-4554-A32A-4402A4E83BB…","3.32.3","",""
"NVIDIA Graphics Driver 551.61","{B2FE1952-0186-46C3-BAEC-A80AA35AC5B…","551.61","",""
"NVIDIA GeForce Experience 3.28.0.412","Nvidia.GeForceExperience","3.28.0.412","","winget"
"NVIDIA FrameView SDK 1.3.8513.322900…","{B2FE1952-0186-46C3-BAEC-A80AA35AC5B…","1.3.8513.32290073","",""
"Google Chrome","Google.Chrome","124.0.6367.91","124.0.636…","winget"
"Microsoft Update Health Tools","{C6FD611E-7EFE-488C-A0E0-974C09EF647…","5.72.0.0","",""
"SD Card Formatter","{D02212EA-E02A-4521-9036-5367734FC66…","5.0.2","",""
"ExplorerPatcher","valinet.ExplorerPatcher","22621.3007.63.3","22621.329…","winget"
"Microsoft Xbox 360 Accessories 1.2","{D9C50188-12D5-4D3E-8F00-682346C2AA5…","1.20.146.0","",""
"Microsoft Visual C++ 2010  x64 Redis…","Microsoft.VCRedist.2010.x64","10.0.30319","10.0.40219","winget"
"Microsoft .NET Framework 4.8 SDK","{DA855582-B360-4532-B8C4-ECD1E5A7095…","4.8.04084","",""
"Belgium e-ID middleware 5.1.8 (build…","BelgianGovernment.Belgium-eIDmiddlew…","5.1.6030","","winget"
"Windows SDK AddOn","{E18618EC-D9DB-4BCE-B382-85ADA2CBB34…","10.1.0.0","",""
"Connective Signing Plugins","{E77C1125-398A-4FF0-9F51-CBB5F7144E1…","2.0.9","",""
"Java(TM) SE Development Kit 18.0.2.1…","Oracle.JDK.18","18.0.2.1","","winget"
"PowerShell 7-x64","Microsoft.PowerShell","7.4.2.0","","winget"
"Microsoft .NET SDK 6.0.421 (x64)","Microsoft.DotNet.SDK.6","6.0.421","","winget"
"Microsoft Visual C++ 2015-2022 Redis…","Microsoft.VCRedist.2015+.x64","14.38.33135.0","","winget"
"Microsoft Visual C++ 2012 Redistribu…","Microsoft.VCRedist.2012.x64","11.0.61030.0","","winget"
"Python 3.12.0 (64-bit)","Python.Python.3.12","3.12.0","3.12.3","winget"
"Microsoft .NET Runtime - 6.0.29 (x64)","Microsoft.DotNet.Runtime.6","6.0.29","","winget"
"Microsoft Visual C++ 2013 Redistribu…","Microsoft.VCRedist.2013.x86","12.0.30501.0","12.0.4066…","winget"
